Year,Anomaly
198306,1.1
198307,0.62
198308,-1.7
198309,-1.66
198310,0.57
198311,-5.66
198312,-4.59
198401,2.04
198402,7.86
198403,-2.61
198404,0.38
198405,0.42
198406,0.35
198407,-1.83
198408,0.65
198409,-0.16
198410,3.12
198411,5
198412,9.03
198501,9.43
198502,3.79
198503,8.03
198504,-2.7
198505,-3.85
198506,-1.46
198507,0.13
198508,-1.71
198509,-0.41
198510,-1.75
198511,-5.66
198512,-0.57
198601,-3.73
198602,-4.84
198603,-1.49
198604,-6.66
198605,-0.21
198606,-0.58
198607,0.55
198608,-0.34
198609,-1.58
198610,2.36
198611,-3.38
198612,-0.88
198701,1.91
198702,-4.91
198703,-3.66
198704,2.52
198705,-0.6
198706,-0.76
198707,-0.14
198708,-0.52
198709,-7.55
198710,-8.06
198711,-14.56
198712,-10.23
198801,-8.81
198802,-0.03
198803,-8.14
198804,-6.46
198805,0.09
198806,-0.29
198807,-0.72
198808,0.13
198809,-4.46
198810,-6.41
198811,-8.22
198812,-7.75
198901,-5.76
198902,-7.73
198903,-9.36
198904,-2.01
198905,0.2
198906,0.19
198907,-1.01
198908,-1.87
198909,-1.98
198910,-4.44
198911,-7.47
198912,-5.01
199001,6.36
199002,3.52
199003,-2.99
199004,-1.82
199005,-0.57
199006,-1.27
199007,-1.61
199008,-1.17
199009,1.44
199010,1.44
199011,-5.97
199012,-1.94
199101,-2.43
199102,-4.43
199103,3.16
199104,-5.71
199105,-0.82
199106,-0.38
199107,-0.4
199108,0.49
199109,-0.17
199110,-3.99
199111,-5.82
199112,-3.79
199201,-5.19
199202,-4.09
199203,-1.03
199204,0.42
199205,0.66
199206,-0.53
199207,1.49
199208,-1.17
199209,-2.35
199210,-6.93
199211,1.62
199212,-5.75
199301,-14.19
199302,-4.36
199303,-7.7
199304,-0.76
199305,2.11
199306,4.46
199307,0.56
199308,0.62
199309,-0.42
199310,-5.25
199311,-0.94
199312,-5.82
199401,-8.05
199402,-4.19
199403,-9.69
199404,-3.35
199405,-2.48
199406,-0.03
199407,-0.49
199408,-1.53
199409,-3.06
199410,-1.63
199411,-4.48
199412,-2.8
199501,-2.67
199502,-2.97
199503,-1.37
199504,3
199505,-1.75
199506,0.31
199507,-0.45
199508,0.11
199509,0.68
199510,0.02
199511,-1.72
199512,-5.83
199601,-0.37
199602,-5.05
199603,0.62
199604,1.91
199605,-1.74
199606,0.47
199607,-1.17
199608,-0.69
199609,-0.68
199610,-3.63
199611,4.11
199612,-6.18
199701,-8.31
199702,-2.98
199703,6.47
199704,-3.21
199705,-0.17
199706,-0.59
199707,-0.2
199708,0.12
199709,-3.34
199710,0.93
199711,-3.64
199712,-2.87
199801,-2.26
199802,-5.02
199803,1.1
199804,-1.48
199805,-4.13
199806,-0.44
199807,-1.54
199808,1.08
199809,0.66
199810,-1.46
199811,2.67
199812,0.3
199901,1.68
199902,-1.38
199903,5.45
199904,2.32
199905,4.65
199906,-0.38
199907,3.27
199908,-0.48
199909,-0.01
199910,-0.85
199911,3.14
199912,0.04
